,cc_max,cc_max_all_no_exclusion,cc_max_all_with_exclusion,cc_median,cc_median_all_no_exclusion,cc_median_all_with_exclusion,loc_median_file,loc_median_file_all_no_exclusion,loc_median_file_all_with_exclusion,num_files,num_files_all_no_exclusion,num_files_all_with_exclusion,project_name
0,4,65.0,65.0,1.0,2.0,2.0,323.0,24.0,25.0,1,487.0,402.0,Tether USDt
1,4,6.0,6.0,1.0,2.0,2.0,31.0,24.0,25.0,23,49.0,37.0,USDC
2,6,13.0,13.0,1.0,1.0,1.0,23.5,23.0,23.0,34,238.0,225.0,Polygon
3,30,65.0,65.0,2.0,1.0,1.0,25.5,30.0,29.0,332,2465.0,1871.0,Chainlink
4,4,11.0,11.0,2.0,1.0,1.0,25.0,28.0,28.0,5,15.0,15.0,Toncoin
5,6,6.0,6.0,1.0,1.0,1.0,23.5,24.0,26.5,34,144.0,132.0,Shiba Inu
6,10,24.0,24.0,1.0,1.0,1.0,135.0,83.0,51.5,31,1284.0,524.0,Dai
7,28,133.0,133.0,2.0,1.0,1.0,19.0,24.0,23.0,53,1624.0,1087.0,Uniswap
8,9,17.0,17.0,1.0,2.0,2.0,28.0,24.0,24.0,47,747.0,589.0,Lido DAO
9,3,9.0,9.0,2.0,2.0,2.0,26.0,19.0,16.0,14,111.0,73.0,Immutable
10,2,6.0,2.0,2.0,1.0,2.0,13.0,25.5,13.0,21,110.0,11.0,Cronos
11,10,,,1.0,,,135.0,,,31,,,Maker
12,12,12.0,12.0,2.0,1.0,1.0,27.0,22.0,24.0,51,111.0,77.0,The Graph
13,14,17.0,17.0,2.0,2.0,2.0,35.5,20.0,20.0,116,728.0,554.0,Aave
14,7,718.0,718.0,2.0,1.0,1.0,17.0,14.0,18.0,187,638.0,346.0,Synthetix
15,16,16.0,16.0,1.0,1.0,1.0,27.0,29.0,29.0,298,580.0,539.0,The Sandbox
16,2,14.0,14.0,1.0,2.0,2.0,20.0,21.0,21.0,13,204.0,184.0,Axie Infinity
17,4,6.0,6.0,1.0,1.0,1.0,24.5,24.0,24.0,76,132.0,107.0,Decentraland
18,12,12.0,12.0,1.0,1.0,1.0,18.0,24.0,24.0,65,211.0,187.0,Ethereum Name Service
19,3,16.0,16.0,2.0,2.0,2.0,19.5,20.0,20.0,96,98.0,98.0,WOO
20,24,24.0,24.0,2.0,2.0,2.0,18.0,22.0,19.0,105,205.0,155.0,PancakeSwap
21,3,17.0,17.0,1.0,2.0,2.0,40.5,20.0,19.0,30,197.0,167.0,Rocket Pool
22,65,65.0,65.0,2.0,2.0,2.0,28.0,29.0,29.0,527,798.0,739.0,Frax Share
