rank,name,gh_org_name,cmc_link,gh_link
3,Tether USDt,tethercoin,https://coinmarketcap.com/currencies/tether/,https://github.com/tethercoin/USDT
7,USDC,circlefin,https://coinmarketcap.com/currencies/usd-coin/,https://github.com/circlefin/stablecoin-evm
13,Polygon,maticnetwork,https://coinmarketcap.com/currencies/polygon/,https://github.com/maticnetwork/contracts
14,Chainlink,smartcontractkit,https://coinmarketcap.com/currencies/chainlink/,https://github.com/smartcontractkit/chainlink.git
15,Toncoin,ton-blockchain,https://coinmarketcap.com/currencies/toncoin/,https://github.com/ton-blockchain/bridge-solidity
17,Shiba Inu,shibaswaparmy,https://coinmarketcap.com/currencies/shiba-inu/,https://github.com/shibaswaparmy/contracts
18,Dai,makerdao,https://coinmarketcap.com/currencies/multi-collateral-dai/,"https://github.com/makerdao/dss-cdp-manager/, https://github.com/makerdao/dss-flash/, https://github.com/dapphub/ds-pause, https://github.com/makerdao/osm.git, https://github.com/makerdao/esm/, https://github.com/makerdao/median, https://github.com/dapphub/ds-chief/, https://github.com/dapphub/ds-spell/, https://github.com/makerdao/dss.git, https://github.com/makerdao/dss-proxy-actions, https://github.com/makerdao/dsr-manager/, https://github.com/dapphub/ds-token, https://github.com/makerdao/vote-proxy/'"
22,Uniswap,Uniswap,https://coinmarketcap.com/currencies/uniswap/,https://github.com/Uniswap/v3-core
24,UNUS SED LEO,,https://coinmarketcap.com/currencies/unus-sed-leo/,
28,OKB,,https://coinmarketcap.com/currencies/okb/,
29,Lido DAO,lidofinance,https://coinmarketcap.com/currencies/lido-dao/,https://github.com/lidofinance/lido-dao
33,Immutable,immutable,https://coinmarketcap.com/currencies/immutable-x/,https://github.com/immutable/contracts
40,Mantle,mantlenetworkio,https://coinmarketcap.com/currencies/mantle/,https://github.com/mantlenetworkio/mantle
42,Cronos,crypto-org-chain,https://coinmarketcap.com/currencies/cronos/,https://github.com/crypto-org-chain/cronos
43,TrueUSD,,,
44,First Digital USD,,https://coinmarketcap.com/currencies/first-digital-usd/,
45,Maker,makerdao,https://coinmarketcap.com/currencies/maker/,"https://github.com/makerdao/dss-cdp-manager/, https://github.com/makerdao/dss-flash/, https://github.com/dapphub/ds-pause, https://github.com/makerdao/osm.git, https://github.com/makerdao/esm/, https://github.com/makerdao/median, https://github.com/dapphub/ds-chief/, https://github.com/dapphub/ds-spell/, https://github.com/makerdao/dss.git, https://github.com/makerdao/dss-proxy-actions, https://github.com/makerdao/dsr-manager/, https://github.com/dapphub/ds-token, https://github.com/makerdao/vote-proxy/'"
