rnk,name,sym,market_cap,circ_supply
1,Bitcoin,BTC,899107538043,19596362
2,Ethereum,ETH,313936881172,120181390
3,Tether USDt,USDT,94993704593,95001955731
4,BNB,BNB,46885879690,151690108
5,Solana,SOL,42489245963,432192217
6,XRP,XRP,32278888011,54266821529
7,USDC,USDC,25252942020,25250140100
8,Cardano,ADA,20464220690,35385670104
9,Avalanche,AVAX,14199945208,366632943
10,Dogecoin,DOGE,11972592916,142619866384
11,Polkadot,DOT,10172315961,1266798688
12,TRON,TRX,9433741523,88251304383
13,Polygon,MATIC,8725592292,9562613390
14,Chainlink,LINK,8412997328,568099970
15,Toncoin,TON,7592830254,3456560339
16,Shiba Inu,SHIB,5970523181,589290628987973
17,Internet Computer,ICP,5802296727,455121525
18,Bitcoin Cash,BCH,5548999620,19611919
19,Litecoin,LTC,5598024614,74084088
20,Dai,DAI,5346104580,5347888596
21,Ethereum Classic,ETC,4274519588,145005662
22,Uniswap,UNI,4036627920,598187016
23,Cosmos,ATOM,4018091796,382482254
24,UNUS SED LEO,LEO,3771674565,927944545
25,Optimism,OP,3671747089,957378568
26,NEAR Protocol,NEAR,3547965416,1004666471
27,Stellar,XLM,3482894368,28310028467
28,Injective,INJ,3238671520,83755556
29,OKB,OKB,3261480480,60000000
30,Lido DAO,LDO,3211992776,890180851
31,Filecoin,FIL,3088039728,496332000
32,Immutable,IMX,2986168155,1321989537
33,Aptos,APT,2949908914,309472299
34,Arbitrum,ARB,2901183273,1275000000
35,Monero,XMR,2893708503,18383308
36,Hedera,HBAR,2800466941,33649003052
37,Kaspa,KAS,2704757552,22281553911
38,Mantle,MNT,2550577152,3132441863
39,Stacks,STX,2507947886,1431549764
40,Celestia,TIA,2494741150,156824350
41,VeChain,VET,2373954338,72714516834
42,Cronos,CRO,2341212781,25263013692
43,TrueUSD,TUSD,2043315828,2053388384
44,First Digital USD,FDUSD,2015627678,2018986628
45,Maker,MKR,1934735089,920112
46,Bitcoin SV,BSV,1840737532,19604700
47,The Graph,GRT,1763635121,9364251777
48,THORChain,RUNE,1687734466,338122756
49,Sei,SEI,1676285383,2300000000
50,Algorand,ALGO,1606659985,8040794675
51,Aave,AAVE,1602959828,14705366
52,ORDI,ORDI,1527816709,21000000
53,Quant,QNT,1517779395,12072738
54,MultiversX,EGLD,1507377398,26439598
55,Render,RNDR,1492830372,371908453
56,Flow,FLOW,1323751916,1482285260
57,SATS,1000SATS,1331343112,2100000000000
58,Mina,MINA,1306870394,1032777586
59,Sui,SUI,1228087978,1100947215
60,Helium,HNT,1183113727,159905066
61,Synthetix,SNX,1175049232,304250813
62,Fantom,FTM,1171694058,2803634836
63,The Sandbox,SAND,1144341886,2118731926
64,Theta Network,THETA,1133192399,1000000000
65,Axie Infinity,AXS,1117287956,132040367
66,FTX Token,FTT,1056943859,328895104
67,BitTorrent (New),BTT,1060795267,968246428571000
68,Tezos,XTZ,1022476559,966954500
69,KuCoin Token,KCS,974690139,96641044
70,Bonk,BONK,970297077,63333513043628
71,WEMIX,WEMIX,967886959,352196503
72,Beam,BEAM,942307489,50279441692
73,Osmosis,OSMO,916579643,492590761
74,Decentraland,MANA,918017068,1893095371
75,Neo,NEO,916640995,70538831
76,EOS,EOS,880723004,1114023546
77,Kava,KAVA,878595473,1082861785
78,Bitget Token,BGB,865170141,1400000000
79,Astar,ASTR,860056305,5489547352
80,Oasis Network,ROSE,840851793,6713599876
81,IOTA,IOTA,812142159,3095541289
82,WOO,WOO,795151798,1810334679
83,Blur,BLUR,758114068,1226881497
84,Gala,GALA,759181667,27486490021
85,Terra Classic,LUNC,756352137,5809180768672
86,PancakeSwap,CAKE,744003091,245409575
87,eCash,XEC,735709422,19605023423092
88,Chiliz,CHZ,728663427,8888292417
89,USDD,USDD,717087502,725332034
90,Rocket Pool,RPL,710384512,19991437
91,XDC Network,XDC,709757063,13890662502
92,Conflux,CFX,700792279,3647761253
93,Frax Share,FXS,699486786,76220683
94,Klaytn,KLAY,686392198,3481271199
95,Ethereum Name Service,ENS,661025273,30634836
96,Akash Network,AKT,661404861,224981645
97,Arweave,AR,636680785,65454185
98,Curve DAO Token,CRV,623466344,1069660183
99,Fetch.ai,FET,590279532,828957836
100,BUSD,BUSD,574777690,575062588
