rank,name,gh_org_name,cmc_link,gh_link,doublecheck,description
3,Tether USDt,tethercoin,https://coinmarketcap.com/currencies/tether/,https://github.com/tethercoin/USDT,Y,Tether is a stablecoin that aims to maintain a 1:1 value ratio with the US Dollar.
7,USDC,circlefin,https://coinmarketcap.com/currencies/usd-coin/,https://github.com/circlefin/stablecoin-evm,Y,USDC is a stablecoin that is pegged to the US Dollar and is designed for global transactions.
13,Polygon,maticnetwork,https://coinmarketcap.com/currencies/polygon/,https://github.com/maticnetwork/contracts,Y,Polygon is a protocol and framework for building and connecting Ethereum-compatible blockchain networks.
14,Chainlink,smartcontractkit,https://coinmarketcap.com/currencies/chainlink/,https://github.com/smartcontractkit/chainlink.git,Y,Chainlink is a decentralized oracle network that provides real-world data to smart contracts on the blockchain.
15,Toncoin,ton-blockchain,https://coinmarketcap.com/currencies/toncoin/,https://github.com/ton-blockchain/bridge-solidity,Y,"Toncoin is a high-speed, scalable blockchain designed for decentralized applications and services."
17,Shiba Inu,shibaswaparmy,https://coinmarketcap.com/currencies/shiba-inu/,https://github.com/shibaswaparmy/contracts,Y,Shiba Inu is a meme-based cryptocurrency that has evolved to include decentralized finance (DeFi) features.
18,Dai,makerdao,https://coinmarketcap.com/currencies/multi-collateral-dai/,"https://github.com/makerdao/dss-cdp-manager/, https://github.com/makerdao/dss-flash/, https://github.com/dapphub/ds-pause, https://github.com/makerdao/osm.git, https://github.com/makerdao/esm/, https://github.com/makerdao/median, https://github.com/dapphub/ds-chief/, https://github.com/dapphub/ds-spell/, https://github.com/makerdao/dss.git, https://github.com/makerdao/dss-proxy-actions, https://github.com/makerdao/dsr-manager/, https://github.com/dapphub/ds-token, https://github.com/makerdao/vote-proxy/",Y,"Dai is a decentralized, collateral-backed stablecoin maintained by MakerDAO."
22,Uniswap,Uniswap,https://coinmarketcap.com/currencies/uniswap/,https://github.com/Uniswap/v3-core,Y,Uniswap is a decentralized exchange protocol enabling automated liquidity provision on Ethereum.
24,UNUS SED LEO,,https://coinmarketcap.com/currencies/unus-sed-leo/,,,"UNUS SED LEO is a utility token primarily used within the iFinex ecosystem, which includes the Bitfinex exchange. It was created to optimize the platform's operations and provide benefits to its users. LEO holders can benefit from reduced trading fees on Bitfinex and other advantages within the ecosystem."
28,OKB,,https://coinmarketcap.com/currencies/okb/,,,"OKB is the utility token of the OKEx exchange, offering various benefits to its users and facilitating the OKEx ecosystem."
29,Lido DAO,lidofinance,https://coinmarketcap.com/currencies/lido-dao/,https://github.com/lidofinance/lido-dao,Y,"Lido is a decentralized staking solution, allowing users to stake their Ethereum and other supported assets and receive staking rewards without locking their tokens."
33,Immutable,immutable,https://coinmarketcap.com/currencies/immutable-x/,https://github.com/immutable/contracts,Y,"Immutable is a layer-2 scaling solution for NFTs on Ethereum, focused on providing high-speed, low-cost transactions."
40,Mantle,mantlenetworkio,https://coinmarketcap.com/currencies/mantle/,,Broken dependency,"Mantle is a blockchain platform focused on providing solutions for scalability, security, and decentralization."
42,Cronos,crypto-org-chain,https://coinmarketcap.com/currencies/cronos/,https://github.com/crypto-org-chain/cronos,Y,"Cronos is the native blockchain of Crypto.com, designed to empower creators, crypto projects, and users with an open, scalable, and user-friendly infrastructure."
43,TrueUSD,,,,,TrueUSD is a USD-pegged stablecoin known for its transparency and regular audits.
44,First Digital USD,,https://coinmarketcap.com/currencies/first-digital-usd/,,,"First Digital USD is a lesser-known digital asset, and detailed information might be limited without internet access."
45,Maker,makerdao,https://coinmarketcap.com/currencies/maker/,"https://github.com/makerdao/dss-cdp-manager/, https://github.com/makerdao/dss-flash/, https://github.com/dapphub/ds-pause, https://github.com/makerdao/osm.git, https://github.com/makerdao/esm/, https://github.com/makerdao/median, https://github.com/dapphub/ds-chief/, https://github.com/dapphub/ds-spell/, https://github.com/makerdao/dss.git, https://github.com/makerdao/dss-proxy-actions, https://github.com/makerdao/dsr-manager/, https://github.com/dapphub/ds-token, https://github.com/makerdao/vote-proxy/",Y,"Maker is a key component of the MakerDAO and Maker Protocol, which manage the Dai stablecoin. MKR is a governance token that allows holders to vote on changes to the protocol, including adjustments to stability fees, collateral types, and other system parameters."
47,The Graph,graphprotocol,https://coinmarketcap.com/currencies/the-graph/,https://github.com/graphprotocol/contracts,Y,"The Graph is a decentralized protocol for indexing and querying blockchain data, aimed at facilitating data accessibility from various blockchains."
50,Aave,aave,https://coinmarketcap.com/currencies/aave/,"https://github.com/aave/aave-v3-core, https://github.com/aave/aave-v3-periphery",Y,Aave is a decentralized finance protocol allowing users to lend and borrow cryptocurrencies.
53,Render,rndr-network,https://coinmarketcap.com/currencies/render/,,No non-negligible Solidity code,"Render is a distributed GPU rendering network built on blockchain technology, enabling users to connect and lend their GPU power for rendering services."
55,Quant,quantnetwork,https://coinmarketcap.com/currencies/quant/,,No non-negligible Solidity code,Quant aims to connect blockchains and networks globally without reducing the efficiency and interoperability of the network.
59,Flow,onflow,https://coinmarketcap.com/currencies/flow/,,No non-negligible Solidity code,"Flow is a fast, decentralized, and developer-friendly blockchain, designed as the foundation for a new generation of games, apps, and digital assets."
61,Synthetix,Synthetixio,https://coinmarketcap.com/currencies/synthetix/,https://github.com/Synthetixio/synthetix-v3,"Underestimated, Broken dependency in https://github.com/Synthetixio/snx-grants-dao-v2/","Synthetix is a decentralized platform that allows for the creation of synthetic assets, enabling users to gain exposure to a variety of assets within the crypto ecosystem."
62,Fantom,Fantom-foundation,https://coinmarketcap.com/currencies/fantom/,,Too complex,"Fantom is a high-performance, scalable, and secure smart-contract platform, designed to overcome the limitations of previous generation blockchains."
63,The Sandbox,thesandboxgame,https://coinmarketcap.com/currencies/the-sandbox/,https://github.com/thesandboxgame/sandbox-smart-contracts,,"The Sandbox is a virtual world where players can build, own, and monetize their gaming experiences using SAND, the platform's utility token."
64,Axie Infinity,axieinfinity,https://coinmarketcap.com/currencies/axie-infinity/,https://github.com/axieinfinity/public-smart-contracts,Y,"Axie Infinity is a blockchain-based trading and battling game partially owned and operated by its players. Inspired by popular games like Pokémon, players can collect, breed, raise, battle, and trade token-based creatures known as Axies."
69,KuCoin Token,Kucoin,https://coinmarketcap.com/currencies/kucoin-token/,,No non-negligible Solidity code,"KuCoin Token is the native token of the KuCoin cryptocurrency exchange, used for receiving trading fee discounts and participating in token sales."
71,Beam,,https://coinmarketcap.com/currencies/onbeam/,,,Beam is a privacy-focused cryptocurrency that uses the Mimblewimble protocol to enhance confidentiality and scalability.
72,Decentraland,decentraland,https://coinmarketcap.com/currencies/decentraland/,"https://github.com/decentraland/marketplace-contracts, https://github.com/decentraland/mana.git, https://github.com/decentraland/land.git, https://github.com/decentraland/dappeteer.git, https://github.com/decentraland/land-auction.git, https://github.com/decentraland/aux-contracts.git, https://github.com/decentraland/avatars-contract.git, https://github.com/decentraland/decentraland-claim-app.git, https://github.com/decentraland/wearables-contracts.git, https://github.com/decentraland/dao-apps.git, https://github.com/decentraland/marketplace-adapter.git, https://github.com/decentraland/vestings-builder.git, https://github.com/decentraland/bid-contract.git, https://github.com/decentraland/rentals-contract.git, https://github.com/decentraland/common-contracts.git",Possibly underestimated,"Decentraland is a virtual reality platform powered by the Ethereum blockchain that allows users to create, experience, and monetize content and applications."
74,Osmosis,osmosis-labs,,,No non-negligible Solidity code,Osmosis is a decentralized exchange protocol that enables the creation of liquidity pools with custom rules and bonding curves.
77,Bitget Token,,https://coinmarketcap.com/currencies/bitget-token-new/,,,"Bitget Token is the native token of the Bitget cryptocurrency exchange, similar in purpose to other exchange tokens."
78,Kava,Kava-Labs,https://coinmarketcap.com/currencies/kava/,,Has own blockchain,Kava is a decentralized finance platform offering collateralized loans and stablecoins to users of major cryptocurrencies.
80,Oasis Network,oasisprotocol,https://coinmarketcap.com/currencies/oasis-network/,,Has own blockchain,"Oasis Network is a privacy-focused blockchain platform designed for open finance and a responsible data economy. It aims to provide high scalability, secure architecture, and enables private, tokenized data that users can control and earn rewards from."
82,Ethereum Name Service,ensdomains,https://coinmarketcap.com/currencies/ethereum-name-service/,https://github.com/ensdomains/ens-contracts,Possibly underestimated,"Ethereum Name Service offers a decentralized way to address resources both on and off the blockchain using simple, human-readable names."
83,WOO,woonetwork,https://coinmarketcap.com/currencies/wootrade/,"https://github.com/woonetwork/woo_token.git, https://github.com/woonetwork/woofi_swap_smart_contracts.git, https://github.com/woonetwork/WooPoolV2.git, https://github.com/woonetwork/WooStakingV2.git",Y,"WOO is associated with WOO Network, a deep liquidity network connecting traders, exchanges, institutions, and DeFi platforms."
